[ 14-12-2012 @01:42:09 ] | DEBUG | (MovieOperations.java : 98) =>   ===========Currently in movieOpPanel method===========
[ 14-12-2012 @01:47:59 ] | INFO  | (MovieOperations.java : 104) =>   =============CURRENTLY IN ADD MOVIE BODY============
[ 14-12-2012 @01:47:59 ] | DEBUG | (MovieOperations.java : 105) =>   ===========Currently in addNewMovie method===========
[ 14-12-2012 @01:48:00 ] | INFO  | (MovieOperations.java : 129) =>   -----------Add new movie failure---------
[ 14-12-2012 @01:48:00 ] | DEBUG | (MovieOperations.java : 130) =>   ------Numbers of rows affected: 0--------
[ 14-12-2012 @01:50:49 ] | INFO  | (MovieOperations.java : 104) =>   =============CURRENTLY IN ADD MOVIE BODY============
[ 14-12-2012 @01:50:49 ] | DEBUG | (MovieOperations.java : 105) =>   ===========Currently in addNewMovie method===========
[ 14-12-2012 @01:50:49 ] | INFO  | (MovieOperations.java : 129) =>   -----------Add new movie failure---------
[ 14-12-2012 @01:50:49 ] | DEBUG | (MovieOperations.java : 130) =>   ------Numbers of rows affected: 0--------
[ 14-12-2012 @01:51:53 ] | INFO  | (MovieOperations.java : 104) =>   =============CURRENTLY IN ADD MOVIE BODY============
[ 14-12-2012 @01:51:53 ] | DEBUG | (MovieOperations.java : 105) =>   ===========Currently in addNewMovie method===========
[ 14-12-2012 @01:51:53 ] | INFO  | (MovieOperations.java : 129) =>   -----------Add new movie failure---------
[ 14-12-2012 @01:51:53 ] | DEBUG | (MovieOperations.java : 130) =>   ------Numbers of rows affected: 0--------
[ 14-12-2012 @01:52:33 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 14-12-2012 @01:52:33 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 14-12-2012 @01:52:33 ] | DEBUG | (AdminLogin.java : 32) =>   ---------username and passwords matched------------
[ 14-12-2012 @01:52:35 ] | INFO  | (MovieOperations.java : 97) =>   =============LOADING ADD MOVIE BODY============
[ 14-12-2012 @01:52:35 ] | DEBUG | (MovieOperations.java : 98) =>   ===========Currently in movieOpPanel method===========
[ 14-12-2012 @01:54:27 ] | INFO  | (MovieOperations.java : 104) =>   =============CURRENTLY IN ADD MOVIE BODY============
[ 14-12-2012 @01:54:27 ] | DEBUG | (MovieOperations.java : 105) =>   ===========Currently in addNewMovie method===========
